,,0
REB,W,0.18792921895621634
SALARY,W,0.18809375945556545
W,SALARY,0.18809375945556545
SALARY,FT%,0.18816749348616063
FT%,SALARY,0.18816749348616063
FTA,W,0.1889199105803432
W,FTA,0.1889199105803432
OREB,L,0.1921400763746375
L,OREB,0.1921400763746375
3P%,FTM,0.19307243209702604
FTM,3P%,0.19307243209702604
FT%,AST,0.19442368951761527
AST,FT%,0.19442368951761527
3PM,DREB,0.19522238570254527
DREB,3PM,0.19522238570254527
FTA,FG%,0.1957914936633349
FG%,FTA,0.1957914936633349
STL,L,0.1979328696840275
L,STL,0.1979328696840275
PF,3PA,0.19812775699897045
3PA,PF,0.19812775699897045
FGA,W,0.201014657847224
W,FGA,0.201014657847224
3P%,W,0.2041290473014782
W,3P%,0.2041290473014782
GP,FT%,0.20486119737494618
FT%,GP,0.20486119737494618
AGE,+/-,0.20510530218045914
+/-,AGE,0.20510530218045914
L,DD2,0.20696507412726878
DD2,L,0.20696507412726878
FG%,FP,0.20722653109752476
FP,FG%,0.20722653109752476
TOV,OREB,0.20862231703729767
OREB,TOV,0.20862231703729767
L,DREB,0.21042097782746244
DREB,L,0.21042097782746244
OREB,PTS,0.21205249249866182
PTS,OREB,0.21205249249866182
W,DREB,0.21229410885862032
DREB,W,0.21229410885862032
3PA,DREB,0.21276381175280434
DREB,3PA,0.21276381175280434
W,BLK,0.21309046805327575
BLK,W,0.21309046805327575
FTA,L,0.2136843553949761
L,FTA,0.2136843553949761
STL,BLK,0.2147984321917574
BLK,STL,0.2147984321917574
W,AGE,0.21555337108999914
AGE,W,0.21555337108999914
W,STL,0.21813359557817905
STL,W,0.21813359557817905
REB,L,0.21857257963989277
L,REB,0.21857257963989277
FP,L,0.21897111626713278
L,FP,0.21897111626713278
GP,AST,0.21952415165490882
AST,GP,0.21952415165490882
L,PTS,0.21992743499363732
PTS,L,0.21992743499363732
+/-,TOV,0.22177942375813606
TOV,+/-,0.22177942375813606
FT%,FTA,0.22836899910656516
FTA,FT%,0.22836899910656516
FGA,+/-,0.22856735698367675
+/-,FGA,0.22856735698367675
+/-,REB,0.22907490344444564
REB,+/-,0.22907490344444564
W,AST,0.22939093295005872
AST,W,0.22939093295005872
GP,TOV,0.2322337595545293
TOV,GP,0.2322337595545293
BLK,SALARY,0.23344071569531874
SALARY,BLK,0.23344071569531874
BLK,TOV,0.23393711656489952
TOV,BLK,0.23393711656489952
3PA,+/-,0.23708675480757938
+/-,3PA,0.23708675480757938
FGM,L,0.23966069235573306
L,FGM,0.23966069235573306
DD2,W,0.24007560721712864
W,DD2,0.24007560721712864
+/-,FG%,0.24126703048932482
FG%,+/-,0.24126703048932482
AGE,FT%,0.24193300575886154
FT%,AGE,0.24193300575886154
FTM,GP,0.2424613338545874
GP,FTM,0.2424613338545874
MIN,+/-,0.2425681057583979
+/-,MIN,0.2425681057583979
FP,FT%,0.2430567145384401
FT%,FP,0.2430567145384401
BLK,PTS,0.24307949770452847
