YEAR,PLAYER,TEAM,SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,RK
2017,Stephen Curry,Golden State Warriors,37457154.0,30,51,41,10,32.0,26.4,8.4,16.9,49.5,4.2,9.8,42.3,5.5,5.9,92.1,0.7,4.4,5.1,6.1,3.0,1.6,0.2,2.2,43.8,5,0,9.5,1.0
2017,Shaun Livingston,Golden State Warriors,7692308.0,32,71,49,22,15.9,5.5,2.4,4.8,50.1,0.0,0.1,0.0,0.7,0.9,82.0,0.5,1.4,1.8,2.0,0.8,0.5,0.3,1.6,12.3,0,0,1.6,145.0
2017,Quinn Cook,Golden State Warriors,1544951.0,25,33,21,12,22.4,9.5,3.7,7.6,48.4,1.4,3.2,44.2,0.7,0.8,88.0,0.3,2.2,2.5,2.7,1.0,0.4,0.0,1.8,16.7,0,0,-1.2,332.0
2017,Patrick McCaw,Golden State Warriors,1312611.0,22,57,41,16,16.9,4.0,1.6,3.9,40.9,0.3,1.4,23.8,0.5,0.6,76.5,0.3,1.2,1.4,1.4,0.7,0.8,0.2,1.2,9.9,0,0,-1.5,404.0
2017,Omri Casspi,Golden State Warriors,1471382.0,30,53,40,13,14.0,5.7,2.3,3.9,58.0,0.2,0.4,45.5,0.9,1.3,72.5,0.6,3.2,3.8,1.0,0.7,0.3,0.4,1.3,13.0,3,0,1.0,344.0
2017,Nick Young,Golden State Warriors,5192000.0,33,80,56,24,17.4,7.3,2.5,6.1,41.2,1.5,4.1,37.7,0.7,0.8,86.2,0.3,1.3,1.6,0.5,0.5,0.5,0.1,1.3,11.0,0,0,0.5,194.0
2017,Klay Thompson,Golden State Warriors,17826150.0,28,73,55,18,34.3,20.0,7.9,16.1,48.9,3.1,7.1,44.0,1.1,1.3,83.7,0.4,3.4,3.8,2.5,1.8,0.8,0.5,1.6,30.3,2,0,5.4,53.0
2017,Kevon Looney,Golden State Warriors,1471382.0,22,66,45,21,13.8,4.0,1.7,2.9,58.0,0.0,0.1,20.0,0.6,1.2,54.5,1.3,2.0,3.3,0.6,0.5,0.5,0.8,1.6,12.5,0,0,1.8,362.0
2017,Jordan Bell,Golden State Warriors,1378242.0,23,57,43,14,14.2,4.6,2.0,3.2,62.7,0.0,0.1,0.0,0.5,0.8,68.2,1.1,2.6,3.6,1.8,0.9,0.6,1.0,1.6,15.5,1,0,2.8,392.0
2017,JaVale McGee,Golden State Warriors,1471382.0,30,65,45,20,9.5,4.8,2.1,3.4,62.1,0.0,0.1,0.0,0.6,0.8,73.1,0.9,1.7,2.6,0.5,0.4,0.3,0.9,1.4,11.8,0,0,0.6,356.0
