,,0
FG%,FT%,0.264174214
FT%,FG%,0.264174214
3P%,FGA,0.265111359
FGA,3P%,0.265111359
SALARY,3P%,0.265815921
3P%,SALARY,0.265815921
W,SALARY,0.267163677
SALARY,W,0.267163677
L,FGM,0.268512527
FGM,L,0.268512527
PTS,+/-,0.269649516
+/-,PTS,0.269649516
FT%,GP,0.270036861
GP,FT%,0.270036861
FTA,3PA,0.27096966
3PA,FTA,0.27096966
AGE,+/-,0.271872737
+/-,AGE,0.271872737
FT%,FGA,0.272466809
FGA,FT%,0.272466809
MIN,3P%,0.27492561
3P%,MIN,0.27492561
DD2,+/-,0.275502411
+/-,DD2,0.275502411
FTM,3PM,0.277656245
3PM,FTM,0.277656245
MIN,+/-,0.2837129
+/-,MIN,0.2837129
TOV,3PM,0.28384347
3PM,TOV,0.28384347
+/-,FTM,0.284217818
FTM,+/-,0.284217818
FT%,TOV,0.287588442
TOV,FT%,0.287588442
3PA,REB,0.287635527
REB,3PA,0.287635527
SALARY,FT%,0.288504459
FT%,SALARY,0.288504459
FTM,W,0.288769858
W,FTM,0.288769858
FT%,YEAR,0.289704105
YEAR,FT%,0.289704105
FGA,GP,0.28989266
GP,FGA,0.28989266
AGE,MIN,0.298961818
MIN,AGE,0.298961818
AGE,FT%,0.299663089
FT%,AGE,0.299663089
AST,3PM,0.301594848
3PM,AST,0.301594848
TD3,GP,0.301702109
GP,TD3,0.301702109
TD3,PF,0.303333726
PF,TD3,0.303333726
+/-,FTA,0.304218326
FTA,+/-,0.304218326
FP,FT%,0.306704873
FT%,FP,0.306704873
FGM,W,0.312734171
W,FGM,0.312734171
W,PTS,0.312903241
PTS,W,0.312903241
FT%,DREB,0.313743451
DREB,FT%,0.313743451
FTA,FT%,0.314368448
FT%,FTA,0.314368448
DREB,+/-,0.314785708
+/-,DREB,0.314785708
GP,FTM,0.31595613
FTM,GP,0.31595613
W,FG%,0.316907204
FG%,W,0.316907204
BLK,TD3,0.317440764
TD3,BLK,0.317440764
AGE,AST,0.317494802
AST,AGE,0.317494802
FGM,3PM,0.31902676
3PM,FGM,0.31902676
TD3,SALARY,0.323445961
SALARY,TD3,0.323445961
MIN,FT%,0.325932829
FT%,MIN,0.325932829
FT%,FGM,0.327150897
FGM,FT%,0.327150897
3PA,FTM,0.331730637
FTM,3PA,0.331730637
STL,GP,0.332073488
GP,STL,0.332073488
W,FTA,0.336316088
FTA,W,0.336316088
L,DREB,0.337253534
DREB,L,0.337253534
FG%,OREB,0.34116195
OREB,FG%,0.34116195
DREB,3PM,0.343439557
3PM,DREB,0.343439557
GP,FG%,0.346552408
FG%,GP,0.346552408
PF,SALARY,0.350381442
SALARY,PF,0.350381442
BLK,GP,0.350602676
GP,BLK,0.350602676
PTS,FT%,0.351678821
FT%,PTS,0.351678821
L,MIN,0.355885225
MIN,L,0.355885225
PTS,GP,0.355901382
GP,PTS,0.355901382
3PM,FP,0.357105233
FP,3PM,0.357105233
TOV,OREB,0.360640164
OREB,TOV,0.360640164
MIN,TD3,0.363133678
TD3,MIN,0.363133678
3PA,TOV,0.364090845
TOV,3PA,0.364090845
W,PF,0.364133771
PF,W,0.364133771
GP,FTA,0.365081995
FTA,GP,0.365081995
FT%,FTM,0.36766175
FTM,FT%,0.36766175
STL,FTM,0.369936727
FTM,STL,0.369936727
L,OREB,0.370431012
OREB,L,0.370431012
OREB,GP,0.372290302
GP,OREB,0.372290302
3PA,FGM,0.373111373
FGM,3PA,0.373111373
PF,L,0.373438939
L,PF,0.373438939
FGM,GP,0.373797069
GP,FGM,0.373797069
3PA,AST,0.375115735
AST,3PA,0.375115735
TOV,+/-,0.380282428
+/-,TOV,0.380282428
BLK,FGA,0.380372718
FGA,BLK,0.380372718
FTA,STL,0.381730728
STL,FTA,0.381730728
W,STL,0.383215438
STL,W,0.383215438
L,DD2,0.384083346
DD2,L,0.384083346
REB,L,0.385892758
L,REB,0.385892758
DREB,3PA,0.402328968
3PA,DREB,0.402328968
FGM,STL,0.4047157
STL,FGM,0.4047157
OREB,FTM,0.406659999
FTM,OREB,0.406659999
REB,W,0.407901283
W,REB,0.407901283
PTS,STL,0.408980609
STL,PTS,0.408980609
STL,OREB,0.40960133
OREB,STL,0.40960133
3PM,PTS,0.412836205
PTS,3PM,0.412836205
FP,+/-,0.413045929
+/-,FP,0.413045929
GP,AST,0.413818061
AST,GP,0.413818061
SALARY,BLK,0.414625566
BLK,SALARY,0.414625566
REB,TD3,0.416270017
TD3,REB,0.416270017
TD3,FP,0.417620554
FP,TD3,0.417620554
FGA,STL,0.421745037
STL,FGA,0.421745037
DREB,W,0.423023309
W,DREB,0.423023309
3PA,FP,0.423186247
FP,3PA,0.423186247
MIN,W,0.423374712
W,MIN,0.423374712
STL,+/-,0.424881277
+/-,STL,0.424881277
AGE,3PA,0.427976818
3PA,AGE,0.427976818
SALARY,DD2,0.428552172
DD2,SALARY,0.428552172
PF,FTM,0.429201982
FTM,PF,0.429201982
+/-,SALARY,0.432390421
SALARY,+/-,0.432390421
AGE,SALARY,0.439688067
SALARY,AGE,0.439688067
TOV,GP,0.447093888
GP,TOV,0.447093888
3PM,AGE,0.448473456
AGE,3PM,0.448473456
BLK,+/-,0.44880748
+/-,BLK,0.44880748
3PM,SALARY,0.450516792
SALARY,3PM,0.450516792
BLK,PTS,0.450644078
PTS,BLK,0.450644078
DD2,BLK,0.451380092
BLK,DD2,0.451380092
TOV,W,0.45440769
W,TOV,0.45440769
FTM,BLK,0.45617962
BLK,FTM,0.45617962
TD3,+/-,0.463420548
+/-,TD3,0.463420548
3PA,PTS,0.463526497
PTS,3PA,0.463526497
OREB,BLK,0.463840883
BLK,OREB,0.463840883
BLK,PF,0.465690443
PF,BLK,0.465690443
FGM,BLK,0.465722313
