,,0
TD3,DD2,0.6955217440027756
DREB,PF,0.7011348753517332
PF,DREB,0.7011348753517332
AST,TD3,0.7146288515517811
TD3,AST,0.7146288515517811
TOV,FTA,0.7175297037645879
FTA,TOV,0.7175297037645879
FGA,3PA,0.7197943612118212
3PA,FGA,0.7197943612118212
PF,REB,0.7452474153867832
REB,PF,0.7452474153867832
REB,FP,0.7455925029791531
FP,REB,0.7455925029791531
TOV,MIN,0.7528909718072522
MIN,TOV,0.7528909718072522
FP,AST,0.7528994939783831
AST,FP,0.7528994939783831
DD2,REB,0.7572312870540148
REB,DD2,0.7572312870540148
FP,FTM,0.7658714679383647
FTM,FP,0.7658714679383647
FTM,FGA,0.7887099810598887
FGA,FTM,0.7887099810598887
FGA,FTA,0.8003204277046394
FTA,FGA,0.8003204277046394
FTA,FP,0.8033532367227969
FP,FTA,0.8033532367227969
FTM,FGM,0.813056584115097
FGM,FTM,0.813056584115097
DD2,DREB,0.8148219841075158
DREB,DD2,0.8148219841075158
FP,DREB,0.8148384623371531
DREB,FP,0.8148384623371531
PTS,TOV,0.8271700719451639
TOV,PTS,0.8271700719451639
FGM,MIN,0.8337613872887779
MIN,FGM,0.8337613872887779
MIN,PTS,0.8342181942666212
PTS,MIN,0.8342181942666212
REB,OREB,0.8382973699525639
OREB,REB,0.8382973699525639
FTA,FGM,0.8412719055156843
FGM,FTA,0.8412719055156843
TOV,FGM,0.8412865332529201
FGM,TOV,0.8412865332529201
TOV,FGA,0.8493456842536792
FGA,TOV,0.8493456842536792
FP,TOV,0.8534545631613689
TOV,FP,0.8534545631613689
FP,MIN,0.8601031178242209
MIN,FP,0.8601031178242209
TOV,AST,0.8602479694625204
AST,TOV,0.8602479694625204
MIN,FGA,0.8639910883604232
FGA,MIN,0.8639910883604232
