YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018,Montrezl Harrell,LAC,25,82,48,34,26.3,16.6,6.7,10.8,61.5,0,0.2,17.6,3.2,5,64.3,2.2,4.3,6.5,2,1.6,0.9,1.3,3.1,32.4,17,0,0.7
2018,Patrick Beverley,LAC,30,78,48,30,27.4,7.6,2.5,6.1,40.7,1.4,3.6,39.7,1.2,1.6,78,1,4,5,3.8,1.1,0.9,0.6,3.4,22.5,6,0,1.9
2018,Shai Gilgeous-Alexander,LAC,20,82,48,34,26.5,10.8,4.2,8.7,47.6,0.6,1.7,36.7,1.9,2.4,80,0.7,2.1,2.8,3.3,1.7,1.2,0.5,2.1,22.6,1,0,-1.3
2018,Sindarius Thornwell,LAC,24,64,37,27,4.9,1,0.3,0.8,34.7,0,0.2,20,0.4,0.5,73.5,0.1,0.6,0.7,0.3,0.3,0.2,0.1,0.6,2.9,0,0,-0.6
2018,Tobias Harris,PHI,26,55,30,25,34.6,20.9,7.7,15.5,49.6,2,4.7,43.4,3.5,4,87.7,0.7,7.2,7.9,2.7,2,0.7,0.4,2.2,36,11,0,0.3
2018,Tyrone Wallace,LAC,25,62,34,28,10.1,3.5,1.5,3.5,42.4,0.1,0.3,21.1,0.5,0.9,52.6,0.3,1.3,1.6,0.7,0.6,0.3,0.1,1.3,7.3,0,0,0.9
2018,Wilson Chandler,LAC,32,15,10,5,15,4.3,1.5,4.4,34.8,0.9,2.7,32.5,0.3,0.5,71.4,0.3,2.9,3.1,0.7,0.5,0.2,0.2,1.9,9.8,0,0,-2.8
2019,Terance Mann,LAC,23,24,16,8,8.5,2.2,0.9,1.8,50,0.1,0.4,22.2,0.3,0.4,80,0.1,0.9,1,1.2,0.5,0.3,0.1,1.1,5.8,0,0,0.6
2019,Rodney McGruder,LAC,28,28,18,10,16.6,3.6,1.4,3.6,39,0.6,2.1,29.3,0.3,0.5,50,0.6,2.3,2.9,0.6,0.4,0.5,0.2,1.6,9.8,0,0,2.1
2019,Paul George,LAC,29,26,19,7,30.7,23.5,7.6,17.8,42.9,3.6,9.2,39.5,4.6,5.1,90.9,0.5,5.5,6,3.7,3.3,1.5,0.5,2.5,38.7,2,0,4.2
2019,Patrick Patterson,LAC,30,35,22,13,14.1,5.1,1.7,4.3,39.3,1.2,3.3,37.4,0.5,0.7,70.8,0.7,2.1,2.8,0.7,0.3,0.2,0.1,0.8,10.1,0,0,1.7
2019,Patrick Beverley,LAC,31,32,23,9,29.1,8.1,3,7.4,41.1,1.5,4.4,33.6,0.6,1,61.3,1.3,4.9,6.2,3.7,1.3,1.3,0.7,3.3,25.7,4,0,4.2
2019,Montrezl Harrell,LAC,25,39,27,12,29.2,19.3,7.8,13.6,57.5,0,0.4,0,3.6,5.6,65.4,2.8,4.6,7.4,1.8,2,0.7,1.1,2.3,34.4,7,0,4.9
2019,Mfiondu Kabengele,LAC,22,10,8,2,4.4,2.9,1,2.2,45.5,0.6,1.2,50,0.3,0.3,100,0.1,0.7,0.8,0.1,0.1,0.1,0.1,0.6,4.5,0,0,-0.1
2019,Maurice Harkless,LAC,26,40,27,13,22.9,5.7,2.3,4.4,52,0.5,1.5,33.9,0.6,1,55,1,2.8,3.8,1,0.9,1.1,0.7,2.5,16.1,0,0,0.2
2019,Lou Williams,LAC,33,37,25,12,30.4,19.8,6.5,15.2,42.6,1.9,5.1,37.8,4.9,5.7,85.8,0.5,2.5,3,6.3,3.1,0.6,0.2,1.5,32.2,2,0,3.1
2019,Landry Shamet,LAC,22,23,14,9,26.4,8.3,2.7,6.7,40.3,1.9,5,37.1,1,1.1,96,0.1,1.7,1.9,1.6,0.8,0.4,0.2,3.2,14,0,0,-0.3
2019,Kawhi Leonard,LAC,28,30,22,8,32.2,25.8,9.1,20,45.4,1.8,5.1,34.6,5.8,6.5,88.8,1.1,6.4,7.5,5.1,3.4,1.9,0.5,2,46.3,8,0,7.7
2019,Johnathan Motley,LAC,24,7,5,2,2.4,1.3,0.4,0.7,60,0.1,0.1,100,0.3,0.3,100,0.1,0.1,0.3,0.7,0.6,0.4,0,0.7,3.4,0,0,-0.9
2019,Jerome Robinson,LAC,22,32,21,11,11.3,3.2,1.2,3.4,34.5,0.5,1.7,27.8,0.3,0.5,58.8,0.1,1.3,1.5,0.9,0.7,0.3,0.2,1.4,7,0,0,2.1
2019,JaMychal Green,LAC,29,31,21,10,21.2,6.9,2.4,5.9,40.7,1.4,4,35.5,0.7,0.8,84,1.5,4.8,6.3,0.7,0.9,0.5,0.4,2.6,17.2,4,0,3.5
2019,Ivica Zubac,LAC,22,40,27,13,17.3,8.2,3.3,5.4,59.9,0,0.1,0,1.7,2.3,73.9,2.5,4.4,6.8,0.9,0.9,0.2,0.9,2.4,20.1,5,0,1.5
2019,Derrick Walton Jr.,LAC,24,20,12,8,10.3,2.5,0.9,1.7,50,0.5,1,45,0.3,0.4,85.7,0.1,0.6,0.7,1,0.2,0.2,0,0.9,5.2,0,0,0.2
2019,Amir Coffey,LAC,22,2,1,1,2.7,2.5,1,1.5,66.7,0.5,1,50,0,0,0,0,0,0,0.5,0,0,0,0.5,3.3,0,0,-3
