,,0
TD3,3PM,0.329332588
3PM,TD3,0.329332588
W,FGM,0.329604744
FGM,W,0.329604744
FT%,3P%,0.330953576
3P%,FT%,0.330953576
FTM,3P%,0.333014101
3P%,FTM,0.333014101
YEAR,3PM,0.333035979
3PM,YEAR,0.333035979
BLK,3PM,0.337544804
3PM,BLK,0.337544804
3P%,FTA,0.338244987
FTA,3P%,0.338244987
FP,W,0.340662394
W,FP,0.340662394
MIN,+/-,0.344962851
+/-,MIN,0.344962851
W,DREB,0.35218801
DREB,W,0.35218801
FT%,3PA,0.353485813
3PA,FT%,0.353485813
GP,FP,0.360993077
FP,GP,0.360993077
GP,PTS,0.361174657
PTS,GP,0.361174657
GP,OREB,0.361463469
OREB,GP,0.361463469
REB,W,0.361973896
W,REB,0.361973896
GP,FTA,0.362658924
FTA,GP,0.362658924
DD2,W,0.363087266
W,DD2,0.363087266
GP,DREB,0.364074621
DREB,GP,0.364074621
TOV,3P%,0.366498649
3P%,TOV,0.366498649
OREB,FG%,0.366521269
FG%,OREB,0.366521269
3PA,3P%,0.367801597
3P%,3PA,0.367801597
+/-,3PA,0.368876239
3PA,+/-,0.368876239
GP,FGA,0.370047245
FGA,GP,0.370047245
TD3,3PA,0.373596816
3PA,TD3,0.373596816
FG%,TOV,0.374188497
TOV,FG%,0.374188497
GP,BLK,0.374824681
BLK,GP,0.374824681
GP,FGM,0.375525138
FGM,GP,0.375525138
FTM,OREB,0.376006075
OREB,FTM,0.376006075
FG%,FGA,0.377576805
FGA,FG%,0.377576805
MIN,FG%,0.378126939
FG%,MIN,0.378126939
OREB,AST,0.383003825
AST,OREB,0.383003825
FG%,AST,0.384977566
AST,FG%,0.384977566
AST,PF,0.385080148
PF,AST,0.385080148
GP,PF,0.386544305
PF,GP,0.386544305
GP,REB,0.389482857
REB,GP,0.389482857
FGA,3P%,0.390438736
3P%,FGA,0.390438736
OREB,3P%,0.390484203
3P%,OREB,0.390484203
MIN,L,0.392805492
L,MIN,0.392805492
3P%,FGM,0.396158009
FGM,3P%,0.396158009
+/-,STL,0.397584736
STL,+/-,0.397584736
3P%,PTS,0.400862202
PTS,3P%,0.400862202
3P%,GP,0.401011008
GP,3P%,0.401011008
+/-,FG%,0.403959429
FG%,+/-,0.403959429
YEAR,SALARY,0.404648046
SALARY,YEAR,0.404648046
FG%,FTM,0.406422053
FTM,FG%,0.406422053
FT%,3PM,0.407043138
3PM,FT%,0.407043138
STL,3P%,0.407222746
3P%,STL,0.407222746
FG%,DREB,0.410680282
DREB,FG%,0.410680282
TD3,FTM,0.412841465
FTM,TD3,0.412841465
3PM,+/-,0.415241457
+/-,3PM,0.415241457
OREB,FTA,0.420933503
FTA,OREB,0.420933503
FP,3P%,0.42306284
3P%,FP,0.42306284
FG%,FTA,0.431349296
FTA,FG%,0.431349296
W,3P%,0.432171897
3P%,W,0.432171897
+/-,TD3,0.432207375
TD3,+/-,0.432207375
REB,FG%,0.435765897
FG%,REB,0.435765897
SALARY,BLK,0.439144422
BLK,SALARY,0.439144422
3PA,PF,0.441519231
PF,3PA,0.441519231
FG%,DD2,0.446803781
DD2,FG%,0.446803781
+/-,FGA,0.452007096
FGA,+/-,0.452007096
PTS,FG%,0.45282556
FG%,PTS,0.45282556
TD3,REB,0.455384341
REB,TD3,0.455384341
FP,FG%,0.456578997
FG%,FP,0.456578997
PTS,OREB,0.457957296
OREB,PTS,0.457957296
PF,FTM,0.458699641
FTM,PF,0.458699641
3PM,3P%,0.462934369
3P%,3PM,0.462934369
BLK,W,0.463985192
W,BLK,0.463985192
PF,BLK,0.464147387
BLK,PF,0.464147387
DREB,TD3,0.46457968
TD3,DREB,0.46457968
GP,MIN,0.465039232
MIN,GP,0.465039232
FGA,TD3,0.466846358
TD3,FGA,0.466846358
OREB,TOV,0.467324988
TOV,OREB,0.467324988
BLK,FG%,0.471090131
FG%,BLK,0.471090131
FTA,PF,0.472107619
PF,FTA,0.472107619
3PM,PF,0.480884248
PF,3PM,0.480884248
FGA,OREB,0.486815371
OREB,FGA,0.486815371
FG%,FGM,0.487127282
FGM,FG%,0.487127282
OREB,FGM,0.487277702
FGM,OREB,0.487277702
DD2,STL,0.488098017
STL,DD2,0.488098017
PTS,TD3,0.490851915
TD3,PTS,0.490851915
DD2,3PM,0.497889957
3PM,DD2,0.497889957
STL,BLK,0.499149533
BLK,STL,0.499149533
TD3,FTA,0.50181174
FTA,TD3,0.50181174
3P%,DREB,0.505889295
DREB,3P%,0.505889295
MIN,3P%,0.506976503
3P%,MIN,0.506976503
3PA,DD2,0.511104005
DD2,3PA,0.511104005
BLK,AST,0.511498663
AST,BLK,0.511498663
PF,3P%,0.511846985
3P%,PF,0.511846985
MIN,BLK,0.511941225
BLK,MIN,0.511941225
OREB,FP,0.5123325
FP,OREB,0.5123325
FGM,TD3,0.514906482
TD3,FGM,0.514906482
+/-,TOV,0.515630244
TOV,+/-,0.515630244
3P%,REB,0.516308938
REB,3P%,0.516308938
DREB,OREB,0.521446979
OREB,DREB,0.521446979
PF,PTS,0.526820917
PTS,PF,0.526820917
+/-,FTA,0.527650336
FTA,+/-,0.527650336
FGM,+/-,0.529167141
+/-,FGM,0.529167141
MIN,DD2,0.53079561
DD2,MIN,0.53079561
FGM,PF,0.532806371
PF,FGM,0.532806371
PF,OREB,0.534633637
OREB,PF,0.534633637
W,+/-,0.538075476
+/-,W,0.538075476
+/-,PTS,0.541754039
PTS,+/-,0.541754039
W,FG%,0.548598384
FG%,W,0.548598384
+/-,REB,0.548747645
REB,+/-,0.548747645
PF,FGA,0.550141265
FGA,PF,0.550141265
BLK,FGA,0.552049067
FGA,BLK,0.552049067
SALARY,+/-,0.55575481
+/-,SALARY,0.55575481
TD3,TOV,0.556388408
TOV,TD3,0.556388408
DD2,BLK,0.557604541
BLK,DD2,0.557604541
PF,FP,0.558794867
FP,PF,0.558794867
FP,TD3,0.560084416
TD3,FP,0.560084416
+/-,FTM,0.569554634
FTM,+/-,0.569554634
+/-,BLK,0.574143118
BLK,+/-,0.574143118
DREB,+/-,0.580907303
+/-,DREB,0.580907303
SALARY,TD3,0.584764332
TD3,SALARY,0.584764332
+/-,FP,0.587044365
FP,+/-,0.587044365
BLK,TOV,0.591359396
TOV,BLK,0.591359396
+/-,AST,0.596316631
AST,+/-,0.596316631
TOV,PF,0.597161524
PF,TOV,0.597161524
PF,STL,0.601038349
STL,PF,0.601038349
OREB,STL,0.608738914
STL,OREB,0.608738914
FGM,BLK,0.616562243
BLK,FGM,0.616562243
BLK,PTS,0.616594405
PTS,BLK,0.616594405
DD2,+/-,0.619484476
+/-,DD2,0.619484476
REB,BLK,0.624900694
BLK,REB,0.624900694
BLK,DREB,0.63015725
DREB,BLK,0.63015725
REB,OREB,0.632186733
OREB,REB,0.632186733
OREB,MIN,0.635004848
MIN,OREB,0.635004848
FTA,BLK,0.640107931
BLK,FTA,0.640107931
DREB,PF,0.645345408
PF,DREB,0.645345408
STL,AST,0.652629399
AST,STL,0.652629399
BLK,FP,0.655769481
FP,BLK,0.655769481
FTM,BLK,0.657175376
BLK,FTM,0.657175376
3PM,AST,0.659508408
AST,3PM,0.659508408
PF,REB,0.665092963
REB,PF,0.665092963
3PM,FTA,0.67623688
FTA,3PM,0.67623688
GP,L,0.67672739
L,GP,0.67672739
AST,3PA,0.679265284
3PA,AST,0.679265284
SALARY,MIN,0.681202395
MIN,SALARY,0.681202395
3PA,FTA,0.681355771
FTA,3PA,0.681355771
DD2,FGA,0.69467719
FGA,DD2,0.69467719
MIN,AST,0.696269024
AST,MIN,0.696269024
STL,FTA,0.700596308
FTA,STL,0.700596308
MIN,PF,0.700738306
PF,MIN,0.700738306
SALARY,STL,0.701741802
STL,SALARY,0.701741802
DD2,FTM,0.707715741
FTM,DD2,0.707715741
STL,3PA,0.715102748
3PA,STL,0.715102748
STL,FTM,0.720267954
FTM,STL,0.720267954
3PA,FTM,0.721102159
FTM,3PA,0.721102159
3PM,FTM,0.72142017
FTM,3PM,0.72142017
DD2,REB,0.723061305
REB,DD2,0.723061305
DD2,TOV,0.726445967
TOV,DD2,0.726445967
STL,3PM,0.727546462
3PM,STL,0.727546462
MIN,3PA,0.727612028
3PA,MIN,0.727612028
DD2,SALARY,0.733750809
SALARY,DD2,0.733750809
REB,3PA,0.738844966
3PA,REB,0.738844966
DREB,DD2,0.74161222
DD2,DREB,0.74161222
TOV,3PM,0.746223454
3PM,TOV,0.746223454
PTS,DD2,0.746790243
DD2,PTS,0.746790243
W,GP,0.748750303
GP,W,0.748750303
FTA,DD2,0.751455145
DD2,FTA,0.751455145
STL,MIN,0.751657596
MIN,STL,0.751657596
TOV,3PA,0.752551118
3PA,TOV,0.752551118
REB,SALARY,0.755264633
SALARY,REB,0.755264633
3PM,MIN,0.760144721
MIN,3PM,0.760144721
DD2,FGM,0.760415296
FGM,DD2,0.760415296
3PA,FGM,0.764928249
FGM,3PA,0.764928249
FGM,STL,0.770389316
STL,FGM,0.770389316
3PA,DREB,0.772386872
DREB,3PA,0.772386872
DREB,STL,0.773353813
