,,0
STL,SALARY,0.3806993396603711
SALARY,STL,0.3806993396603711
W,DREB,0.3810051249595536
DREB,W,0.3810051249595536
+/-,AST,0.38293175351140823
AST,+/-,0.38293175351140823
DREB,FP,0.3888743339927588
FP,DREB,0.3888743339927588
PTS,TD3,0.39348264458806936
TD3,PTS,0.39348264458806936
MIN,TD3,0.39970560503580177
TD3,MIN,0.39970560503580177
AST,AGE,0.39973169131822367
AGE,AST,0.39973169131822367
PTS,FT%,0.40099534108810475
FT%,PTS,0.40099534108810475
TD3,FGA,0.4030547031339529
FGA,TD3,0.4030547031339529
FGM,3PM,0.4039494609792122
3PM,FGM,0.4039494609792122
FGM,3PA,0.40783862357458045
3PA,FGM,0.40783862357458045
FP,W,0.4084761735907803
W,FP,0.4084761735907803
3PM,TOV,0.4286395926195969
TOV,3PM,0.4286395926195969
SALARY,TD3,0.42879643017011876
TD3,SALARY,0.42879643017011876
DD2,FP,0.4339254487480884
FP,DD2,0.4339254487480884
FTA,DREB,0.43577003502891404
DREB,FTA,0.43577003502891404
OREB,PF,0.44237046899801163
PF,OREB,0.44237046899801163
FT%,FGA,0.450452984049099
FGA,FT%,0.450452984049099
+/-,PTS,0.4604807440699647
PTS,+/-,0.4604807440699647
PTS,MIN,0.46093921034663776
MIN,PTS,0.46093921034663776
FTM,STL,0.46299036867521753
STL,FTM,0.46299036867521753
OREB,BLK,0.4634930165171439
BLK,OREB,0.4634930165171439
FT%,STL,0.4635789432769902
STL,FT%,0.4635789432769902
MIN,FTM,0.4669901968784753
FTM,MIN,0.4669901968784753
TOV,FTA,0.47163386272623814
FTA,TOV,0.47163386272623814
+/-,STL,0.47464032444018645
STL,+/-,0.47464032444018645
AST,SALARY,0.47791235710616886
SALARY,AST,0.47791235710616886
TD3,TOV,0.4836014119867832
TOV,TD3,0.4836014119867832
+/-,FGM,0.48657724707417954
FGM,+/-,0.48657724707417954
FTM,FT%,0.4943358282861447
FT%,FTM,0.4943358282861447
STL,FGM,0.4975708115016423
FGM,STL,0.4975708115016423
+/-,MIN,0.49805992791816467
MIN,+/-,0.49805992791816467
FGM,MIN,0.4994770174735768
MIN,FGM,0.4994770174735768
3P%,PTS,0.5045053911765252
PTS,3P%,0.5045053911765252
TOV,FTM,0.5057992270896018
FTM,TOV,0.5057992270896018
TD3,AGE,0.5061855937436458
AGE,TD3,0.5061855937436458
DREB,BLK,0.5145548378096546
BLK,DREB,0.5145548378096546
SALARY,YEAR,0.5165052207224275
YEAR,SALARY,0.5165052207224275
REB,BLK,0.5245200799568285
BLK,REB,0.5245200799568285
TD3,FGM,0.526813872016326
FGM,TD3,0.526813872016326
FGA,STL,0.5295250908973699
STL,FGA,0.5295250908973699
FP,MIN,0.5296666620344866
MIN,FP,0.5296666620344866
FP,TD3,0.5296938939820671
TD3,FP,0.5296938939820671
FP,SALARY,0.5306666589711506
SALARY,FP,0.5306666589711506
FG%,BLK,0.531014031633722
BLK,FG%,0.531014031633722
3PA,TOV,0.5343865341164133
TOV,3PA,0.5343865341164133
STL,PTS,0.5377917940633778
PTS,STL,0.5377917940633778
GP,FG%,0.5468019222131697
FG%,GP,0.5468019222131697
PTS,3PA,0.5501830546935459
3PA,PTS,0.5501830546935459
GP,DD2,0.5504991062742427
DD2,GP,0.5504991062742427
3P%,FGA,0.5509021565960193
FGA,3P%,0.5509021565960193
PTS,3PM,0.5529284837690543
3PM,PTS,0.5529284837690543
FTA,FGA,0.5542984080962275
FGA,FTA,0.5542984080962275
PTS,AST,0.563635424923205
AST,PTS,0.563635424923205
3PM,FGA,0.5677876510198651
FGA,3PM,0.5677876510198651
3PM,FT%,0.5763452410502149
FT%,3PM,0.5763452410502149
DD2,W,0.5873775873292904
W,DD2,0.5873775873292904
AST,FGA,0.5904603223287234
FGA,AST,0.5904603223287234
TD3,AST,0.5923314784370778
AST,TD3,0.5923314784370778
MIN,FTA,0.594779049311328
FTA,MIN,0.594779049311328
3PM,SALARY,0.5999947597996036
SALARY,3PM,0.5999947597996036
AST,FGM,0.6087307240294054
FGM,AST,0.6087307240294054
TOV,STL,0.6140305249194558
STL,TOV,0.6140305249194558
3P%,3PA,0.6199476560623355
3PA,3P%,0.6199476560623355
W,FG%,0.6221478222975851
FG%,W,0.6221478222975851
FP,+/-,0.6227543001721481
+/-,FP,0.6227543001721481
FP,STL,0.6312894953003289
STL,FP,0.6312894953003289
FT%,3PA,0.6343609613716263
3PA,FT%,0.6343609613716263
OREB,DD2,0.6381299243242753
DD2,OREB,0.6381299243242753
FGA,3PA,0.6457033166287839
3PA,FGA,0.6457033166287839
FGM,SALARY,0.66448804799446
SALARY,FGM,0.66448804799446
FP,FGA,0.6678124309096606
FGA,FP,0.6678124309096606
FTM,FGA,0.6708544995102774
FGA,FTM,0.6708544995102774
FP,FTM,0.6724526679812249
FTM,FP,0.6724526679812249
FP,AST,0.6750326778890354
AST,FP,0.6750326778890354
3PM,3P%,0.6753043882244427
3P%,3PM,0.6753043882244427
FT%,3P%,0.6808343485699763
3P%,FT%,0.6808343485699763
3PA,SALARY,0.6824326012260161
SALARY,3PA,0.6824326012260161
PTS,SALARY,0.6848169244338652
SALARY,PTS,0.6848169244338652
L,GP,0.6854948838325455
GP,L,0.6854948838325455
SALARY,FGA,0.6890468520423894
FGA,SALARY,0.6890468520423894
